Resturant Name,Rating,Address,Review Count,Category
Panera Bread,3 star rating,Located in Crossing Meadows Shopping Center,32,Sandwiches;Salad;Soup
South Lanes Pizza,2.5 star rating,4107 Mormon Coulee Rd,5,Pizza;Bowling;Bars
Coronas Cantina Grill Mexican Restaurant,2 star rating,920 W City Hwy 16,2,Cocktail Bars;Mexican;Seafood
Coney Island Hot Dogs,3 star rating,3800 Hwy 16,7,Hot Dogs
KFC,3.5 star rating,2001 Rose St,3,Fast Food;Chicken Wings;Chicken Shop
Ringside,3 star rating,223 Pearl St,1,American (New)
Chuck E. Cheese,3 star rating,4444 State Rd 16,5,Pizza;Arcades;Kids Activities
Little Caesars Pizza,2.5 star rating,1022 La Crosse St,5,Italian;Pizza
Corky’s Pizza,3 star rating,25 S Walnut St,11,Pizza;Ice Cream & Frozen Yogurt;Burgers
A&W Restaurant,2.5 star rating,3005 S Ave,13,Fast Food;Burgers;Hot Dogs
Pizza Villa West Salem,4.5 star rating,156 Leonard St S,3,Pizza
Jacqlons Cafe,3 star rating,512 S Main St,8,Cafes
Tequila’s Restaurant,2.5 star rating,425 2nd Ave S,11,Mexican
The MOB Stop,3 star rating,208 S Holmen Dr,6,Hot Dogs;Food Stands
Chateau La Crosse,N/A,410 Cass St,N/A,Hotels;Bed & Breakfast;Restaurants
Pizza Hut,2.5 star rating,2212 Rose St,8,Pizza;Italian;Chicken Wings
Maggie’s On Main,2.5 star rating,205 Main St,14,Breakfast & Brunch
Ralph’s Restaurant,N/A,109 3rd St N,N/A,Restaurants
Subway,3 star rating,1549 Rose St,1,Sandwiches
Hardee’s,1 star rating,2505 State Rd,2,Fast Food;Burgers
Caribou Coffee,4 star rating,1202 County Rd Ph,16,Bakeries;Coffee & Tea;Sandwiches
Gino’s,3 star rating,306 Sand Lake Rd,2,Hot Dogs
Culver’s,4 star rating,9422 State Rd 16,6,Burgers;Fast Food;Ice Cream & Frozen Yogurt
Rocky Rococo Pan Style Pizza,2.5 star rating,1239 Crossing Meadows Dr,11,Pizza;Italian
Hardee’s,2 star rating,1311 Rose St,11,Fast Food;Burgers
K & H Cafe,N/A,1124 Gillette St,N/A,American (New)
Perkins Restaurant & Bakery,3 star rating,9428 Highway 16,25,Bakeries;Breakfast & Brunch;American (Traditional)
Neuie’s Vogue Bar and Grill,N/A,1820 George St,N/A,American (Traditional);Sports Bars
Burger King,1.5 star rating,1124 George St W,3,Burgers
Taco John’s,2.5 star rating,1211 Jackson St,10,Mexican;Fast Food
American Legion Clubroom,2.5 star rating,509 N Chestnut St,3,Restaurants
Cafe Lola,N/A,200 Main St,N/A,French;Asian Fusion
Jimmy John’s,2.5 star rating,1420 Losey Blvd,7,Delis;Sandwiches;Fast Food
Hong Kong Restaurant,N/A,322 Main St,N/A,Chinese
Toppers Pizza,2.5 star rating,605 2nd Ave S,6,Pizza
Coney Island Village,N/A,2428 State Rd,N/A,Hot Dogs;Soup;Fast Food
Pizza Hut,N/A,4252 Mormon Coulee Rd,N/A,Pizza
Happy Joe’s Pizza & Ice Cream Parlor,N/A,327 Division St,N/A,Italian;Pizza
McDonald’s,2 star rating,2810 Losey Blvd S,6,Fast Food;Burgers;Coffee & Tea
Taco Bell,1 star rating,4141 Mormon Coulee Ct,14,Mexican;Fast Food
Pettibone Bar & Grill,N/A,Under Cass St Bridge,N/A,American (Traditional)
Dairy Queen Grill & Chill,2.5 star rating,4200 Mormon Coulee Rd,6,Fast Food;Ice Cream & Frozen Yogurt;Burgers
Burger King,1 star rating,3519 Mormon Coulee Rd,5,Burgers;Fast Food
Burger King,1 star rating,515 N Fourth St,2,Burgers;Fast Food
Adam’s Rib & Steak House,N/A,101 Sky Harbour Dr,N/A,Hotels;Restaurants
Olympic Family Restaurant,N/A,N/A,N/A,Restaurants
Wendy’s,2 star rating,4422 Mormon Coulee Road,6,Fast Food;Burgers
Coulee Bar and Grill,N/A,W4516 Eddie Ave,N/A,American (Traditional)
Padrino’s Pizza,N/A,327 Division St,N/A,Restaurants
RR Restaurant,N/A,328 Front St S,N/A,Restaurants
Arby’s,2.5 star rating,3210 N Kinney Coulee Rd,5,Fast Food;Sandwiches
Joe’s Bar & Grill At Days Inn,1 star rating,101 Sky Harbour Dr,1,Bars;American (Traditional)
KFC,1 star rating,3415 Fiesta Ct,3,Chicken Wings;Fast Food;Chicken Shop
Hillbilly’s Bar & Grill,N/A,132 La Crescent St,N/A,Bars;Restaurants
Domino’s Pizza,3.5 star rating,224 Sand Lake Rd,8,Pizza;Chicken Wings;Sandwiches
The Bistro,2 star rating,500 Front St,3,American (Traditional)
Taco Bell,2.5 star rating,1243 Crossing Meadows Rd,3,Fast Food;Mexican
Subway,3.5 star rating,9360 State Rd,4,Sandwiches
Flamers Grill,N/A,3800 State Rd 16,N/A,Burgers
Truckers Inn Restaurant,2 star rating,I 90 & County 12,1,Restaurants
Hong Kong Restaurant,N/A,9374 State Rd 16,N/A,Chinese;Asian Fusion
Norijapan,N/A,3800 State Road 16,N/A,Restaurants
Main Street Saloon,N/A,56 Main St,N/A,Bars;American (Traditional)
Shepherd’s Voice Cafe,N/A,110 Crossroads Ctr,N/A,Restaurants
Dairy Queen Grill & Chill,2 star rating,810 2nd Ave S,15,Ice Cream & Frozen Yogurt;Fast Food;Burgers
Frenchtastic Bakery,N/A,1125 Main St,N/A,Bakeries;Sandwiches
Wendy’s,2 star rating,9346 State Road 16,6,Burgers;Fast Food
Linda’s Cafe,N/A,County Highway O,N/A,Cafes
Papa Murphy’s,2.5 star rating,1220 Crossing Meadows Drive,6,Pizza
Jimmy John’s,3 star rating,9432 Hwy 16,9,Sandwiches;Delis;Fast Food
Hearty Platter Cafe,2.5 star rating,42165 County Rd 12,4,Cafes;Travel Services
Subway,1.5 star rating,101 Kistler Dr,2,Sandwiches
Subway,1 star rating,3810 Mormon Coulee Rd,1,Sandwiches
